id;il_id;aciklama;created_by;created_date
457;34;Sancaktepe;admin;now
458;34;Sultangazi;admin;now
459;35;Aliağa;admin;now
460;35;Bayındır;admin;now
461;35;Bergama;admin;now
462;35;Bornova;admin;now
463;35;Çeşme;admin;now
464;35;Dikili;admin;now
465;35;Foça;admin;now
466;35;Karaburun;admin;now
467;35;Karşıyaka;admin;now
468;35;Kemalpaşa / İzmir;admin;now
469;35;Kınık;admin;now
470;35;Kiraz;admin;now
471;35;Menemen;admin;now
472;35;Ödemiş;admin;now
473;35;Seferihisar;admin;now
474;35;Selçuk;admin;now
475;35;Tire;admin;now
476;35;Torbalı;admin;now
477;35;Urla;admin;now
478;35;Beydağ;admin;now
479;35;Buca;admin;now
480;35;Konak;admin;now
481;35;Menderes;admin;now
482;35;Balçova;admin;now
483;35;Çiğli;admin;now
484;35;Gaziemir;admin;now
485;35;Narlıdere;admin;now
486;35;Güzelbahçe;admin;now
487;35;Bayraklı;admin;now
488;35;Karabağlar;admin;now
489;36;Arpaçay;admin;now
490;36;Digor;admin;now
491;36;Kağızman;admin;now
492;36;Kars Merkez;admin;now
493;36;Sarıkamış;admin;now
494;36;Selim;admin;now
495;36;Susuz;admin;now
496;36;Akyaka;admin;now
497;37;Abana;admin;now
498;37;Araç;admin;now
499;37;Azdavay;admin;now
500;37;Bozkurt / Kastamonu;admin;now
501;37;Cide;admin;now
502;37;Çatalzeytin;admin;now
503;37;Daday;admin;now
504;37;Devrekani;admin;now
505;37;İnebolu;admin;now
506;37;Kastamonu Merkez;admin;now
507;37;Küre;admin;now
508;37;Taşköprü;admin;now
509;37;Tosya;admin;now
510;37;İhsangazi;admin;now
511;37;Pınarbaşı / Kastamonu;admin;now
512;37;Şenpazar;admin;now
513;37;Ağlı;admin;now
514;37;Doğanyurt;admin;now
515;37;Hanönü;admin;now
516;37;Seydiler;admin;now
517;38;Bünyan;admin;now
518;38;Develi;admin;now
519;38;Felahiye;admin;now
520;38;İncesu;admin;now
521;38;Pınarbaşı / Kayseri;admin;now
522;38;Sarıoğlan;admin;now
523;38;Sarız;admin;now
524;38;Tomarza;admin;now
525;38;Yahyalı;admin;now
526;38;Yeşilhisar;admin;now
527;38;Akkışla;admin;now
528;38;Talas;admin;now
529;38;Kocasinan;admin;now
530;38;Melikgazi;admin;now
531;38;Hacılar;admin;now
532;38;Özvatan;admin;now
533;39;Babaeski;admin;now
534;39;Demirköy;admin;now
535;39;Kırklareli Merkez;admin;now
536;39;Kofçaz;admin;now
537;39;Lüleburgaz;admin;now
538;39;Pehlivanköy;admin;now
539;39;Pınarhisar;admin;now
540;39;Vize;admin;now
541;40;Çiçekdağı;admin;now
542;40;Kaman;admin;now
543;40;Kırşehir Merkez;admin;now
544;40;Mucur;admin;now
545;40;Akpınar;admin;now
546;40;Akçakent;admin;now
547;40;Boztepe;admin;now
548;41;Gebze;admin;now
549;41;Gölcük;admin;now
550;41;Kandıra;admin;now
551;41;Karamürsel;admin;now
552;41;Körfez;admin;now
553;41;Derince;admin;now
554;41;Başiskele;admin;now
555;41;Çayırova;admin;now
556;41;Darıca;admin;now
557;41;Dilovası;admin;now
558;41;İzmit;admin;now
559;41;Kartepe;admin;now
560;42;Akşehir;admin;now
561;42;Beyşehir;admin;now
562;42;Bozkır;admin;now
563;42;Cihanbeyli;admin;now
564;42;Çumra;admin;now
565;42;Doğanhisar;admin;now
566;42;Ereğli / Konya;admin;now
567;42;Hadim;admin;now
568;42;Ilgın;admin;now
569;42;Kadınhanı;admin;now
570;42;Karapınar;admin;now
571;42;Kulu;admin;now
572;42;Sarayönü;admin;now
573;42;Seydişehir;admin;now
574;42;Yunak;admin;now
575;42;Akören;admin;now
576;42;Altınekin;admin;now
577;42;Derebucak;admin;now
578;42;Hüyük;admin;now
579;42;Karatay;admin;now
580;42;Meram;admin;now
581;42;Selçuklu;admin;now
582;42;Taşkent;admin;now
583;42;Ahırlı;admin;now
584;42;Çeltik;admin;now
585;42;Derbent;admin;now
586;42;Emirgazi;admin;now
587;42;Güneysınır;admin;now
588;42;Halkapınar;admin;now
589;42;Tuzlukçu;admin;now
590;42;Yalıhüyük;admin;now
591;43;Altıntaş;admin;now
592;43;Domaniç;admin;now
593;43;Emet;admin;now
594;43;Gediz;admin;now
595;43;Kütahya Merkez;admin;now
596;43;Simav;admin;now
597;43;Tavşanlı;admin;now
598;43;Aslanapa;admin;now
599;43;Dumlupınar;admin;now
600;43;Hisarcık;admin;now
601;43;Şaphane;admin;now
602;43;Çavdarhisar;admin;now
603;43;Pazarlar;admin;now
604;44;Akçadağ;admin;now
605;44;Arapgir;admin;now
606;44;Arguvan;admin;now
607;44;Darende;admin;now
608;44;Doğanşehir;admin;now
609;44;Hekimhan;admin;now
610;44;Pütürge;admin;now
611;44;Yeşilyurt / Malatya;admin;now
612;44;Battalgazi;admin;now
613;44;Doğanyol;admin;now
614;44;Kale / Malatya;admin;now
615;44;Kuluncak;admin;now
616;44;Yazıhan;admin;now
617;45;Akhisar;admin;now
618;45;Alaşehir;admin;now
619;45;Demirci;admin;now
620;45;Gördes;admin;now
621;45;Kırkağaç;admin;now
622;45;Kula;admin;now
623;45;Salihli;admin;now
624;45;Sarıgöl;admin;now
625;45;Saruhanlı;admin;now
626;45;Selendi;admin;now
627;45;Soma;admin;now
628;45;Turgutlu;admin;now
629;45;Ahmetli;admin;now
630;45;Gölmarmara;admin;now
631;45;Köprübaşı / Manisa;admin;now
632;45;Şehzadeler;admin;now
